num_obs	res_prop	nmcc	species	data	scale	drug_or_drug_class	drug_level	file_name	model_colors	model_shapes	shuffled
457	0.04	0.79	Cje	binary	domains	AZM	drug	Cje_drug_AZM_domains_binary	#66a61e	22	FALSE
457	0.04	0.79	Cje	counts	domains	AZM	drug	Cje_drug_AZM_domains_counts	#66a61e	21	FALSE
457	0.04	0.91	Cje	binary	genes	AZM	drug	Cje_drug_AZM_genes_binary	#e6ab02	22	FALSE
457	0.04	0.91	Cje	counts	genes	AZM	drug	Cje_drug_AZM_genes_counts	#e6ab02	21	FALSE
457	0.04	0.91	Cje	binary	proteins	AZM	drug	Cje_drug_AZM_proteins_binary	skyblue	22	FALSE
457	0.04	0.91	Cje	counts	proteins	AZM	drug	Cje_drug_AZM_proteins_counts	skyblue	21	FALSE
457	0.04	0.91	Cje	struct	struct	AZM	drug	Cje_drug_AZM_struct_binary	NA	NA	FALSE
462	0.24	0.8	Cje	binary	domains	CIP	drug	Cje_drug_CIP_domains_binary	#66a61e	22	FALSE
462	0.24	0.76	Cje	counts	domains	CIP	drug	Cje_drug_CIP_domains_counts	#66a61e	21	FALSE
462	0.24	0.77	Cje	binary	genes	CIP	drug	Cje_drug_CIP_genes_binary	#e6ab02	22	FALSE
462	0.24	0.75	Cje	counts	genes	CIP	drug	Cje_drug_CIP_genes_counts	#e6ab02	21	FALSE
462	0.24	0.79	Cje	binary	proteins	CIP	drug	Cje_drug_CIP_proteins_binary	skyblue	22	FALSE
462	0.24	0.81	Cje	counts	proteins	CIP	drug	Cje_drug_CIP_proteins_counts	skyblue	21	FALSE
462	0.24	0.65	Cje	struct	struct	CIP	drug	Cje_drug_CIP_struct_binary	NA	NA	FALSE
457	0.05	0.79	Cje	binary	domains	AMG	drug_class	Cje_drug_class_AMG_domains_binary	#66a61e	22	FALSE
457	0.05	0.79	Cje	counts	domains	AMG	drug_class	Cje_drug_class_AMG_domains_counts	#66a61e	21	FALSE
457	0.05	0.91	Cje	binary	genes	AMG	drug_class	Cje_drug_class_AMG_genes_binary	#e6ab02	22	FALSE
457	0.05	0.83	Cje	counts	genes	AMG	drug_class	Cje_drug_class_AMG_genes_counts	#e6ab02	21	FALSE
457	0.05	0.79	Cje	binary	proteins	AMG	drug_class	Cje_drug_class_AMG_proteins_binary	skyblue	22	FALSE
457	0.05	0.79	Cje	counts	proteins	AMG	drug_class	Cje_drug_class_AMG_proteins_counts	skyblue	21	FALSE
457	0.05	0.7	Cje	struct	struct	AMG	drug_class	Cje_drug_class_AMG_struct_binary	NA	NA	FALSE
462	0.24	0.8	Cje	binary	domains	FLQ	drug_class	Cje_drug_class_FLQ_domains_binary	#66a61e	22	FALSE
462	0.24	0.76	Cje	counts	domains	FLQ	drug_class	Cje_drug_class_FLQ_domains_counts	#66a61e	21	FALSE
462	0.24	0.77	Cje	binary	genes	FLQ	drug_class	Cje_drug_class_FLQ_genes_binary	#e6ab02	22	FALSE
462	0.24	0.75	Cje	counts	genes	FLQ	drug_class	Cje_drug_class_FLQ_genes_counts	#e6ab02	21	FALSE
462	0.24	0.79	Cje	binary	proteins	FLQ	drug_class	Cje_drug_class_FLQ_proteins_binary	skyblue	22	FALSE
462	0.24	0.81	Cje	counts	proteins	FLQ	drug_class	Cje_drug_class_FLQ_proteins_counts	skyblue	21	FALSE
462	0.24	0.65	Cje	struct	struct	FLQ	drug_class	Cje_drug_class_FLQ_struct_binary	NA	NA	FALSE
457	0.05	0.85	Cje	binary	domains	LIN	drug_class	Cje_drug_class_LIN_domains_binary	#66a61e	22	FALSE
457	0.05	1	Cje	counts	domains	LIN	drug_class	Cje_drug_class_LIN_domains_counts	#66a61e	21	FALSE
457	0.05	1	Cje	binary	genes	LIN	drug_class	Cje_drug_class_LIN_genes_binary	#e6ab02	22	FALSE
457	0.05	1	Cje	counts	genes	LIN	drug_class	Cje_drug_class_LIN_genes_counts	#e6ab02	21	FALSE
457	0.05	1	Cje	binary	proteins	LIN	drug_class	Cje_drug_class_LIN_proteins_binary	skyblue	22	FALSE
457	0.05	1	Cje	counts	proteins	LIN	drug_class	Cje_drug_class_LIN_proteins_counts	skyblue	21	FALSE
457	0.05	0.91	Cje	struct	struct	LIN	drug_class	Cje_drug_class_LIN_struct_binary	NA	NA	FALSE
462	0.04	NA	Cje	binary	domains	MAC	drug_class	Cje_drug_class_MAC_domains_binary	#66a61e	22	FALSE
462	0.04	NA	Cje	counts	domains	MAC	drug_class	Cje_drug_class_MAC_domains_counts	#66a61e	21	FALSE
462	0.04	0.72	Cje	binary	genes	MAC	drug_class	Cje_drug_class_MAC_genes_binary	#e6ab02	22	FALSE
462	0.04	0.72	Cje	counts	genes	MAC	drug_class	Cje_drug_class_MAC_genes_counts	#e6ab02	21	FALSE
462	0.04	0.81	Cje	binary	proteins	MAC	drug_class	Cje_drug_class_MAC_proteins_binary	skyblue	22	FALSE
462	0.04	0.81	Cje	counts	proteins	MAC	drug_class	Cje_drug_class_MAC_proteins_counts	skyblue	21	FALSE
462	0.04	0.81	Cje	struct	struct	MAC	drug_class	Cje_drug_class_MAC_struct_binary	NA	NA	FALSE
455	0.23	0.66	Cje	binary	domains	QUI	drug_class	Cje_drug_class_QUI_domains_binary	#66a61e	22	FALSE
455	0.23	0.69	Cje	counts	domains	QUI	drug_class	Cje_drug_class_QUI_domains_counts	#66a61e	21	FALSE
455	0.23	0.74	Cje	binary	genes	QUI	drug_class	Cje_drug_class_QUI_genes_binary	#e6ab02	22	FALSE
455	0.23	0.74	Cje	counts	genes	QUI	drug_class	Cje_drug_class_QUI_genes_counts	#e6ab02	21	FALSE
455	0.23	0.74	Cje	binary	proteins	QUI	drug_class	Cje_drug_class_QUI_proteins_binary	skyblue	22	FALSE
455	0.23	0.76	Cje	counts	proteins	QUI	drug_class	Cje_drug_class_QUI_proteins_counts	skyblue	21	FALSE
455	0.23	0.8	Cje	struct	struct	QUI	drug_class	Cje_drug_class_QUI_struct_binary	NA	NA	FALSE
462	0.71	0.96	Cje	binary	domains	TET	drug_class	Cje_drug_class_TET_domains_binary	#66a61e	22	FALSE
462	0.71	1	Cje	counts	domains	TET	drug_class	Cje_drug_class_TET_domains_counts	#66a61e	21	FALSE
462	0.71	1	Cje	binary	genes	TET	drug_class	Cje_drug_class_TET_genes_binary	#e6ab02	22	FALSE
462	0.71	1	Cje	counts	genes	TET	drug_class	Cje_drug_class_TET_genes_counts	#e6ab02	21	FALSE
462	0.71	1	Cje	binary	proteins	TET	drug_class	Cje_drug_class_TET_proteins_binary	skyblue	22	FALSE
462	0.71	1	Cje	counts	proteins	TET	drug_class	Cje_drug_class_TET_proteins_counts	skyblue	21	FALSE
462	0.71	0.98	Cje	struct	struct	TET	drug_class	Cje_drug_class_TET_struct_binary	NA	NA	FALSE
457	0.05	0.85	Cje	binary	domains	CLI	drug	Cje_drug_CLI_domains_binary	#66a61e	22	FALSE
457	0.05	1	Cje	counts	domains	CLI	drug	Cje_drug_CLI_domains_counts	#66a61e	21	FALSE
457	0.05	1	Cje	binary	genes	CLI	drug	Cje_drug_CLI_genes_binary	#e6ab02	22	FALSE
457	0.05	1	Cje	counts	genes	CLI	drug	Cje_drug_CLI_genes_counts	#e6ab02	21	FALSE
457	0.05	1	Cje	binary	proteins	CLI	drug	Cje_drug_CLI_proteins_binary	skyblue	22	FALSE
457	0.05	1	Cje	counts	proteins	CLI	drug	Cje_drug_CLI_proteins_counts	skyblue	21	FALSE
457	0.05	0.91	Cje	struct	struct	CLI	drug	Cje_drug_CLI_struct_binary	NA	NA	FALSE
462	0.04	NA	Cje	binary	domains	ERY	drug	Cje_drug_ERY_domains_binary	#66a61e	22	FALSE
462	0.04	NA	Cje	counts	domains	ERY	drug	Cje_drug_ERY_domains_counts	#66a61e	21	FALSE
462	0.04	0.72	Cje	binary	genes	ERY	drug	Cje_drug_ERY_genes_binary	#e6ab02	22	FALSE
462	0.04	0.72	Cje	counts	genes	ERY	drug	Cje_drug_ERY_genes_counts	#e6ab02	21	FALSE
462	0.04	0.81	Cje	binary	proteins	ERY	drug	Cje_drug_ERY_proteins_binary	skyblue	22	FALSE
462	0.04	0.81	Cje	counts	proteins	ERY	drug	Cje_drug_ERY_proteins_counts	skyblue	21	FALSE
462	0.04	0.81	Cje	struct	struct	ERY	drug	Cje_drug_ERY_struct_binary	NA	NA	FALSE
457	0.05	0.79	Cje	binary	domains	GEN	drug	Cje_drug_GEN_domains_binary	#66a61e	22	FALSE
457	0.05	0.79	Cje	counts	domains	GEN	drug	Cje_drug_GEN_domains_counts	#66a61e	21	FALSE
457	0.05	0.91	Cje	binary	genes	GEN	drug	Cje_drug_GEN_genes_binary	#e6ab02	22	FALSE
457	0.05	0.83	Cje	counts	genes	GEN	drug	Cje_drug_GEN_genes_counts	#e6ab02	21	FALSE
457	0.05	0.79	Cje	binary	proteins	GEN	drug	Cje_drug_GEN_proteins_binary	skyblue	22	FALSE
457	0.05	0.79	Cje	counts	proteins	GEN	drug	Cje_drug_GEN_proteins_counts	skyblue	21	FALSE
457	0.05	0.7	Cje	struct	struct	GEN	drug	Cje_drug_GEN_struct_binary	NA	NA	FALSE
455	0.23	0.66	Cje	binary	domains	NAL	drug	Cje_drug_NAL_domains_binary	#66a61e	22	FALSE
455	0.23	0.69	Cje	counts	domains	NAL	drug	Cje_drug_NAL_domains_counts	#66a61e	21	FALSE
455	0.23	0.74	Cje	binary	genes	NAL	drug	Cje_drug_NAL_genes_binary	#e6ab02	22	FALSE
455	0.23	0.74	Cje	counts	genes	NAL	drug	Cje_drug_NAL_genes_counts	#e6ab02	21	FALSE
455	0.23	0.74	Cje	binary	proteins	NAL	drug	Cje_drug_NAL_proteins_binary	skyblue	22	FALSE
455	0.23	0.76	Cje	counts	proteins	NAL	drug	Cje_drug_NAL_proteins_counts	skyblue	21	FALSE
455	0.23	0.8	Cje	struct	struct	NAL	drug	Cje_drug_NAL_struct_binary	NA	NA	FALSE
455	0.03	0.79	Cje	binary	domains	TEL	drug	Cje_drug_TEL_domains_binary	#66a61e	22	FALSE
455	0.03	0.79	Cje	counts	domains	TEL	drug	Cje_drug_TEL_domains_counts	#66a61e	21	FALSE
455	0.03	NA	Cje	binary	genes	TEL	drug	Cje_drug_TEL_genes_binary	#e6ab02	22	FALSE
455	0.03	NA	Cje	counts	genes	TEL	drug	Cje_drug_TEL_genes_counts	#e6ab02	21	FALSE
455	0.03	0.91	Cje	binary	proteins	TEL	drug	Cje_drug_TEL_proteins_binary	skyblue	22	FALSE
455	0.03	NA	Cje	counts	proteins	TEL	drug	Cje_drug_TEL_proteins_counts	skyblue	21	FALSE
455	0.03	NA	Cje	struct	struct	TEL	drug	Cje_drug_TEL_struct_binary	NA	NA	FALSE
462	0.71	0.96	Cje	binary	domains	TET	drug	Cje_drug_TET_domains_binary	#66a61e	22	FALSE
462	0.71	1	Cje	counts	domains	TET	drug	Cje_drug_TET_domains_counts	#66a61e	21	FALSE
462	0.71	1	Cje	binary	genes	TET	drug	Cje_drug_TET_genes_binary	#e6ab02	22	FALSE
462	0.71	1	Cje	counts	genes	TET	drug	Cje_drug_TET_genes_counts	#e6ab02	21	FALSE
462	0.71	1	Cje	binary	proteins	TET	drug	Cje_drug_TET_proteins_binary	skyblue	22	FALSE
462	0.71	1	Cje	counts	proteins	TET	drug	Cje_drug_TET_proteins_counts	skyblue	21	FALSE
462	0.71	0.98	Cje	struct	struct	TET	drug	Cje_drug_TET_struct_binary	NA	NA	FALSE
